英文,詞性,中文,級別
awkward,adj.,笨拙的,3
background,n.,背景,3
bacon,n.,燻豬肉,3
bacteria,n.,細菌,3
badly,adv.,嚴重地,3
baggage,n.,行李,3
bait,n./v.,餌,3
bamboo,n.,竹子,3
bang,n./v./adv.,重擊,3
banker,n.,銀行家,3
bare,adj./v.,赤裸的,3
barely,adv.,幾乎不,3
barn,n.,谷倉,3
barrel,n.,桶,3
basement,n.,地下室,3
bay,n.,海灣,3
bead,n.,珠子,3
beam,n./v.,橫梁,3
beast,n.,畜生,3
beetle,n.,甲蟲,3
beneath,prep.,在...下方,3
benefit,n./v.,利益,3
berry,n.,漿果,3
besides,adv./prep.,除...之外,3
bet,v./n.,打賭,3
bind,v.,綁,3
bitter,adj.,苦的,3
bleed,v.,流血,3
bless,v.,祝福,3
bloody,adj.,血腥的,3
blouse,n.,寬松的上衣,3
bold,adj.,大膽的,3
bomb,n./v.,炸彈,3
bookcase,n.,書架,3
boot,n./v.,長靴,3
bore,v./n.,令人討厭的人,3
bowling,n.,保齡球戲,3
brake,n./v.,剎車,3
brass,n./adj.,黃銅,3
bravery,n.,勇敢,3
breast,n.,胸部,3
breath,n.,呼吸,3
breathe,v.,呼吸,3
breeze,n./v.,微風,3
brick,n.,磚塊,3
bride,n.,新娘,3
broadcast,n./v.,廣播,3
brunch,n.,早午餐,3
bubble,n./v.,泡沫,3
bucket,n.,桶,3
bud,n./v.,芽,3
budget,n./v.,預算,3
buffalo,n.,水牛,3
buffet,n.,自助餐,3
bulb,n.,球莖,3
bull,n.,公牛,3
bullet,n.,子彈,3
bump,n./v.,撞擊,3
bunch,n.,串,3
bundle,n.,捆,3
bury,v.,埋葬,3
bush,n.,矮樹叢,3
buzz,n./v.,嗡嗡聲,3
cabin,n.,小屋,3
cable,n./v.,電纜,3
cafeteria,n.,自助餐廳,3
campus,n.,校園,3
canyon,n.,峽谷,3
capable,adj.,有能力的,3
captain,n.,船長,3
capture,v./n.,抓取,3
career,n.,事業,3
carpenter,n.,木匠,3
carpet,n./v.,地毯,3
carriage,n.,馬車,3
cart,n./v.,二輪運貨馬車,3
cast,v./n.,演員陣容,3
casual,adj.,偶然的,3
cattle,n.,牛,3
cave,n./v.,洞,3
champion,n.,冠軍,3
charm,n./v.,吸引力,3
chat,n./v.,閒談,3
cheek,n.,頰,3
cheerful,adj.,快活的,3
cherry,n./adj.,櫻桃,3
chest,n.,胸,3
chill,n./v./adj.,寒冷,3
chilly,adj.,寒冷的,3
chimney,n.,煙囪,3
chin,n.,下巴,3
chip,n./v.,屑片,3
chop,n./v.,肋條肉,3
cigarette,n.,香煙,3
cinema,n.,電影院,3
circus,n.,馬戲團,3
citizen,n.,市民,3
civil,adj.,市民的,3
clay,n.,泥土,3
cleaner,n.,清潔工人,3
client,n.,客戶,3
clinic,n.,診所,3
clip,n./v.,修剪,3
closet,n.,壁櫥,3
clothe,v.,給...穿衣,3
clown,n./v.,小醜,3
clue,n.,線索,3
coach,n./v.,四輪大馬車,3
cock,n.,公雞,3
cocktail,n.,雞尾酒,3
coconut,n.,椰子,3
collar,n.,衣領,3
collection,n.,收集,3
colony,n.,殖民地,3
colorful,adj.,華美的,3
column,n.,專欄,3
comfort,n./v.,舒適,3
comma,n.,逗點,3
committee,n.,委員會,3
communicate,v.,顯露,3
comparison,n.,比較,3
compete,v.,競爭,3
complain,v.,抱怨,3
complaint,n.,訴苦,3
concert,n.,音樂會,3
conclusion,n.,結論,3
cone,n.,圓錐體,3
confirm,v.,證實,3
confuse,v.,使混亂,3
connect,v.,連接,3
conscious,adj.,有意識的,3
considerable,adj.,相當的,3
constant,adj./n.,常數,3
continent,n.,大陸,3
controller,n.,控制器,3
cooker,n.,炊事用具,3
costly,adj.,昂貴的,3
cotton,n.,棉花,3
cough,n./v.,咳嗽,3
countable,adj.,能算的,3
county,n.,縣,3
crab,n.,螃蟹,3
cradle,n./v.,搖籃,3
crane,n./v.,鶴,3
crash,n./v.,譁啦聲,3
crawl,v./n.,爬行,3
creative,adj.,有創造力的,3
creator,n.,創作者；創造者,3
creature,n.,生物；動物,3
credit,n./v.,信用,3
crew,n.,全體人員,3
cricket,n.,蟋蟀,3
criminal,adj./n.,罪犯,3
crispy,adj.,卷曲的,3
crop,n./v.,農作物,3
crown,n./v.,王冠,3
cruel,adj.,殘酷的,3
cupboard,n.,食櫥,3
dairy,n.,牛奶公司,3
dam,n./v.,水壩,3
dare,aux./v.,挑戰,3
darling,n./adj.,親愛的,3
dash,n./v.,衝撞,3
database,n.,數據庫,3
dawn,n./v.,破曉,3
dealer,n.,經銷商,3
decade,n.,十年,3
deck,n.,甲板,3
decorate,v.,裝飾,3
decrease,v./n.,減少,3
deed,n.,行為,3
deepen,v.,深化,3
definition,n.,定義,3
democracy,n.,民主政治,3
democratic,adj.,民主的,3
deposit,n./v.,存款,3
designer,n.,設計者,3
desirable,adj.,令人想望的,3
desire,n./v.,欲望,3
dessert,n.,餐後甜點,3
destroy,v.,破壞,3
detect,v.,發現,3
determine,v.,決定,3
devil,n.,魔鬼,3
dim,adj./v.,暗淡的,3
dime,n.,10分硬幣(美、加),3
dine,v.,用正餐,3
dinosaur,n.,恐龍,3
dip,v./n.,浸,3
dirt,n.,汙垢,3
discount,n./v.,折扣,3
dishonest,adj.,不誠實的,3
disk/disc,n.,磁盤,3
dislike,v./n.,嫌惡,3
ditch,n./v.,溝渠,3
dive,n./v.,潛水,3
dizzy,adj.,暈眩的,3
dock,n./v.,碼頭,3
dolphin,n.,海豚,3
donkey,n.,驢子,3
dose,n./v.,劑量,3
doubtful,adj.,可疑的,3
doughnut,n.,油炸圈餅,3
downtown,adj./adv./n.,市中心區,3
drag,v./n.,拖,3
dragonfly,n.,蜻蜓,3
drain,v./n.,排水溝,3
dramatic,adj.,戲劇性的,3
drip,n./v.,水滴,3
drown,v.,淹死,3
drugstore,n.,藥房,3
drunk,adj./n.,喝醉了的,3
dumb,adj.,啞的,3
dump,v./n.,垃圾場,3
dumpling,n.,面團布丁,3
dust,n./v.,灰塵,3
eager,adj.,熱心的,3
echo,n./v.,回聲,3
edit,v.,編輯,3
editor,n.,編者,3
educate,v.,教育,3
educational,adj.,教育的,3
efficient,adj.,有效率的,3
elbow,n./v.,手肘,3
elderly,adj.,過了中年的,3
elect,v./adj.,當選人,3
election,n.,選舉,3
electricity,n.,電,3
electronic,adj.,電子的,3
element,n.,元件,3
elevator,n.,電梯,3
emergency,n.,緊急狀況,3
emotional,adj.,情緒的,3
emperor,n.,皇帝,3
enable,v.,使能夠,3
energetic,adj.,精力充沛的,3
engage(ment),v./(n.),從事,3
enjoyable,adj.,可從中得到樂趣的,3
entry,n.,登錄,3
envy,n./v.,羨慕,3
erase,v.,抹去,3
excellence,n.,優秀,3
exchange,n./v.,交換,3
exhibition,n.,表現,3
expectation,n.,期待,3
experiment,n./v.,實驗,3
explode,v.,爆炸,3
explore,v.,探險,3
export,n./v.,輸出品,3
expressive,adj.,表達的,3
extreme,adj./n.,極端,3
fade,v.,褪色,3
faint,adj./v./n.,昏厥,3
fairly,adv.,美觀地,3
fairy,n./adj.,仙女,3
faith,n.,信心,3
fake,adj./v./n.,假貨,3
familiar,adj.,熟悉的,3
fancy,adj./n./v.,想象力,3
fare,n.,費用,3
farther,adv./adj.,更遠的,3
fashionable,adj.,時髦的,3
faucet,n.,龍頭,3
fearful,adj.,可怕的,3
feather,n.,羽毛,3
fence,n.,圍牆,3
fighter,n.,鬥士,3
firework,n.,煙火具,3
fist,n./v.,拳頭,3
flame,n./v.,火焰,3
flash,n./v.,閃光,3
flashlight,n.,手電筒,3
flavor,n./v.,滋味,3
flesh,n.,肉,3
float,v./n.,漂流物,3
flock,n./v.,獸群,3
flood,n./v.,洪水,3
flour,n.,面粉,3
flute,n.,笛,3
foggy,adj.,霧深的,3
fold,v./n.,折層,3
follower,n.,從者,3
fond,adj.,喜歡的,3
forever,adv.,永遠,3
fortune,n.,財富,3
fountain,n.,水源,3
frank,adj.,坦白的,3
freeze,v./n.,凍結,3
freezer,n.,冰庫,3
frequent,adj./v.,時常發生的,3
fright,n.,驚駭,3
frighten,v.,使驚嚇,3
fuel,n./v.,燃料,3
fund,n./v.,基金,3
fur,n.,毛皮,3
gallon,n.,加侖,3
gamble,n./v.,賭博,3
gang,n./v.,隊,3
gap,n.,縫隙,3
garage,n.,車庫,3
gasoline/gas,n.,汽油,3
geography,n.,地理學,3
gesture,n./v.,手勢,3
glance,n./v.,一瞥,3
global,adj.,通用的,3
glory,n.,光榮,3
glow,n./v.,赤熱,3
golf,n./v.,高爾夫球,3
gossip,n./v.,閒聊,3
governor,n.,(美)州長,3
grab,v./n.,抓握,3
graduate,n./v.,畢業生,3
grasp,v./n.,把握,3
grasshopper,n.,蚱蜢,3
grassy,adj.,草綠色的,3
greedy,adj.,貪婪的,3
greenhouse,n.,溫室,3
grin,n./v.,露齒笑,3
grocery,n.,食品雜貨店,3
guidance,n.,指導,3
gum,n.,樹膠,3
hairdresser,n.,美發師,3
hallway,n.,門廳,3
hammer,n./v.,錘,3
handful,n.,少數,3
handkerchief,n.,手帕,3
handy,adj.,便利的,3
hanger,n.,掛鉤,3
harbor,n./v.,港,3
harm,n./v.,傷害,3
harmful,adj.,有害的,3
harvest,n./v.,收獲,3
hasty,adj.,匆匆的,3
hatch,n./v.,孵化,3
hateful,adj.,憎恨的,3
hay,n.,幹草,3
headline,n./v.,大標題,3
headquarters,n.,總部,3
heal,v.,痊愈,3
heap,n./v.,堆,3
heater,n.,加熱器,3
heel,n./v.,腳後跟,3
hell,n.,地獄,3
helmet,n.,鋼盔,3
hesitate,v.,猶豫,3
hint,n./v.,暗示,3
hire,v./n.,租金,3
historian,n.,歷史學家,3
historic,adj.,歷史上著名的,3
holder,n.,持有人,3
hollow,adj./n./v.,洞,3
holy,adj.,神聖的,3
homesick,adj.,思家的,3
hometown,n.,故鄉,3
honesty,n.,誠實,3
honor,n./v.,榮譽,3
hopeful,adj.,有希望之人,3
horn,n.,角,3
horrible,adj.,可怕的,3
horror,n.,驚駭,3
hourly,adj./adv.,每小時的,3
housekeeper,n.,主婦,3
hug,n./v.,緊抱,3
hum,v.,嗡嗡聲,3
humid,adj.,潮溼的,3
humor,n.,幽默,3
humorous,adj.,富幽默感的,3
hunger,n.,飢餓,3
hut,n.,小屋,3
icy,adj.,冰的,3
imagination,n.,想像,3
immediate,adj.,立即的,3
import,n./v.,進口貨,3
impress,v.,印象,3
indoor,adj.,戶內的,3
indoors,adv.,在戶內,3
industrial,adj.,工業的,3
inferior,adj./n.,次等的,3
inform,v.,通知,3
information,n.,消息,3
injury,n.,傷害,3
inn,n.,旅館,3
inner,adj.,內部的,3
innocent,adj.,無罪的,3
inspect,v.,檢查,3
inspector,n.,檢查員,3
intelligent,adj.,聰明的,3
interrupt,v.,中斷,3
invent,v.,發明,3
inventor,n.,發明家,3
investigate,v.,調查,3
invitation,n.,邀請,3
ivory,n./adj.,象牙,3
jail,n./v.,監牢,3
jar,n.,廣口瓶,3
jaw,n.,顎,3
jazz,n.,爵士樂,3
jealous,adj.,嫉妒的,3
jeep,n.,吉普車,3
jelly,n.,果凍,3
jet,n./v.,噴射流,3
jewel,n.,珠寶,3
jewelry,n.,珠寶,3
journey,n./v.,旅程,3
joyful,adj.,歡喜的,3
juicy,adj.,多汁液的,3
jungle,n.,叢林,3
junior,adj./n.,年少者,3
junk,n./v.,垃圾,3
kangaroo,n.,袋鼠,3
keyboard,n.,鍵盤,3
kidney,n.,腎,3
kilometer,n.,千米,3
kindergarten,n.,幼稚園,3
kingdom,n.,王國,3
kit,n.,裝備,3
knight,n.,騎士,3
knit,v./n.,編織,3
knot,n./v.,結,3
koala,n.,袋熊,3
label,n./v.,標籤,3
lace,n./v.,飾帶,3
ladder,n.,梯,3
lately,adv.,近來,3
laughter,n.,笑,3
laundry,n.,洗衣店,3
lawn,n.,草地,3
leak,n./v.,漏洞,3
leap,n./v.,跳躍,3
learning,n.,學問,3
leather,n.,皮革,3
leisure,n.,空閒,3
lemonade,n.,檸檬水,3
leopard,n.,豹,3
lettuce,n.,萵苣,3
liberty,n.,自由,3
lick,v./n.,舔,3
lifetime,n.,一生,3
lighthouse,n.,燈塔,3
lightning,n.,閃電,3
lily,n.,百合,3
limb,n.,四肢,3
litter,n./v.,垃圾,3
lively,adj.,活潑的,3
loaf,n.,一條面包,3
lobby,n.,大廳,3
locate,v.,找出,3
location,n.,位置,3
lock,n./v.,鎖,3
log,n./v.,記錄,3
lollipop,n.,棒棒糖,3
loose,adj.,鬆的；寬鬆的,3
lord,n.,統治者,3
loser,n.,失敗者,3
lover,n.,愛人,3
luggage,n.,行李,3
lung,n.,肺,3
magical,adj.,魔術的,3
magician,n.,魔術家,3
magnet,n.,磁鐵,3
maid,n.,少女,3
majority,n.,多數,3
mall,n.,林蔭路,3
mankind/humankind,n.,人類,3
marble,n.,大理石,3
march,n./v.,三月,3
marker,n.,作記號的人,3
marvelous,adj.,令人驚異的,3
mathematical,adj.,數學的,3
mayor,n.,市長,3
meadow,n.,草地,3
meaningful,adj.,意味深長的,3
meanwhile,n./adv.,其時,3
medal,n.,獎牌,3
medium/media,n.,媒介,3
melon,n.,瓜,3
melt,v.,熔化,3
mend,v.,改進,3
mental,adj.,心智的,3
merry,adj.,快樂的,3
mess,n./v.,食堂,3
microphone/mike,n.,麥克風,3
microwave,n./v.,微波,3
mighty,adj.,有勢力的人,3
minus,prep./n./adj.,負號,3
miracle,n.,奇跡,3
misery,n.,痛苦,3
missile,n.,發射物,3
missing,adj.,不見的,3
mission,n.,任務,3
mist,n./v.,霧,3
mob,n./v.,暴民,3
mobile,adj.,移動的,3
moist,adj.,潮溼的,3
moisture,n.,溼氣,3
monk,n.,修道士,3
monster,n.,怪物,3
monthly,adj./adv./n.,月刊,3
moral,adj./n.,道德,3
mosquito,n.,蚊子,3
mostly,adv.,大概,3
motel,n.,汽車旅館,3
moth,n.,蛾害,3
motor,n.,馬達,3
multiply,v.,繁殖,3
murder,n./v.,謀殺,3
muscle,n.,肌肉,3
mushroom,n./v.,蘑菇形物,3
mystery,n.,祕密,3
naked,adj.,裸體的,3
nap,n./v.,小睡,3
napkin,n.,餐巾,3
native,adj./n.,本地人,3
navy,n.,海軍,3
neat,adj.,整潔的,3
necessity,n.,需要,3
necktie,n.,領帶,3
neighborhood,n.,附近,3
nest,n./v.,巢,3
nickname,n./v.,綽號,3
normal,adj.,常態,3
novelist,n.,小說家,3
nun,n.,修女,3
oak,n.,橡樹,3
observe,v.,覺察到,3
occasion,n.,場合,3
odd,adj.,奇數的,3
omit,v.,省略,3
ongoing,adj.,前進的,3
onion,n.,洋蔥,3
onto,prep.,在...之上,3
operation,n.,操作,3
opportunity,n.,機會,3
opposite,adj./n./prep./adv.,相反的；對面,3
optimistic,adj.,樂觀的,3
oral,adj./n.,口試,3
organic,adj.,器官的,3
organize,v.,組織,3
original,adj./n.,最初的,3
outdoor,adj.,戶外的,3
outdoors,adv.,戶外,3
outer,adj.,外部的,3
outline,n./v.,大綱,3
oven,n.,烤箱,3
overseas,adv./adj.,海外的,3
owe,v.,虧欠,3
owl,n.,貓頭鷹,3
ownership,n.,所有權,3
ox,n.,牛,3
pad,n./v.,填補,3
painter,n.,畫家,3
pal,n.,朋友,3
palace,n.,宮,3
palm,n.,手掌,3
pancake,n.,薄烤餅,3
panic,n./v.,恐慌,3
parade,n./v.,遊行,3
paradise,n.,天堂,3
parcel,n./v.,包裹,3
parrot,n./v.,鸚鵡,3
passage,n.,通道,3
passenger,n.,乘客,3
passion,n.,激情,3
passport,n.,護照,3
pat,v./n.,輕拍,3
patience,n.,耐性,3
pause,n./v.,暫停,3
pave(ment),v./(n.),鋪設(道路),3
pea,n.,豌豆,3
peanut,n.,花生,3
pearl,n.,珍珠,3
peel,v./n.,皮,3
penguin,n.,企鵝,3
penny,n.,便士,3
pepper,n.,胡椒粉,3
perform,v.,進行,3
performance,n.,施行,3
permission,n.,許可,3
permit,v./n.,許可證,3
persuade,v.,勸,3
photographer,n.,攝影師,3
pigeon,n.,鴿子,3
pile,n./v.,堆,3
pill,n.,藥丸,3
pilot,n./v.,飛行員,3
pine,n.,松樹,3
pineapple,n.,鳳梨,3
pint,n.,品脫(幹量或液量的單位),3
pit,n.,深坑,3
pitch,n./v.,程度,3
pity,n./v.,遺憾,3
plastic,n./adj.,塑料,3
playful,adj.,愛打趣的,3
plenty,pron./n./adv.,充分,3
plug,n./v.,塞子,3
pole,n.,波蘭人,3
political,adj.,政治的,3
politician,n.,政客,3
politics,n.,政治,3
poll,n./v.,投票,3
pollute,v.,汙染,3
pollution,n.,汙染,3
porcelain,n.,瓷器,3
portion,n./v.,部分,3
portrait,n.,肖像,3
poster,n.,海報,3
postpone(ment),v./(n.),延期,3
pottery,n.,陶器,3
pour,v.,流出,3
poverty,n.,貧窮,3
powder,n./v.,粉,3
practical,adj.,實際的,3
precious,adj.,寶貴的,3
preparation,n.,準備,3
presence,n.,出席,3
pretend,v.,假裝,3
prevent,v.,預防,3
previous,adj.,早先的,3
probable,adj.,很可能的,3
process,n./v.,程序,3
producer,n.,生產者,3
product,n.,產品,3
professor,n.,教授,3
profit,n./v.,利潤,3
promote,v.,促進,3
pronounce,v.,發音,3
proof,n.,證據,3
property,n.,財產,3
protection,n.,保護,3
pub,n.,酒館,3
pump,n./v.,抽水機,3
punch,n./v.,打洞器,3
puppet,n.,傀儡,3
pure,adj.,純的,3
purse,n.,錢包,3
queer,adj.,怪人,3
quit,v.,離開,3
quote,v./n.,引用,3
racial,adj.,人種的,3
rag,n.,碎布,3
rank,n./v.,等級,3
rate,n./v.,比率,3
raw,adj.,擦傷處,3
ray,n.,光線,3
razor,n.,剃刀,3
react,v.,起反應,3
reaction,n.,反應,3
reasonable,adj.,合理的,3
receipt,n.,收據,3
receiver,n.,接收器,3
recognize,v.,認出,3
recorder,n.,記錄員,3
rectangle,n.,長方形,3
reduce,v.,減少,3
regional,adj.,地方的,3
regret,v./n.,遺憾,3
relax,v.,放松,3
release,n./v.,釋放,3
reliable,adj.,可靠的,3
relief,n.,減輕,3
religious,adj.,宗教性的,3
rely,v.,信賴,3
remain,v.,保持,3
remind,v.,提醒,3
remote,adj.,遙遠的,3
replace(ment),v./(n.),取代,3
represent,v.,表現,3
representative,adj./n.,代表,3
republic,n.,共和國,3
request,n./v.,請求,3
reserve,n./v.,儲備品,3
resist,v.,抵抗,3
resource,n.,資源,3
response,n.,反應,3
responsibility,n.,責任,3
restrict,v.,限制,3
reveal,v.,露出,3
ribbon,n.,緞帶,3
rid,adj./v.,免除,3
ripe,adj.,成熟的,3
risk,n./v.,冒險,3
roar,n./v.,吼,3
roast,adj./n./v.,烤肉,3
rob,v.,搶奪,3
robbery,n.,搶掠,3
robe,n.,寬松長袍,3
rocket,n.,火箭,3
romantic,adj./n.,浪漫的,3
rot,v./n.,腐爛,3
rotten,adj.,腐爛的,3
rough,adj./adv./n.,粗糙的東西,3
roughly,adv.,概略地,3
routine,n./adj.,常規,3
rug,n.,小塊地毯,3
rumor,n./v.,謠言,3
rush,n./v.,匆促,3
rust,n./v.,鏽,3
sack,n.,麻布袋,3
sake,n.,目的,3
salary,n.,薪水,3
satisfactory,adj.,滿意的,3
sauce,n.,醬油,3
saucer,n.,茶碟,3
sausage,n.,香腸,3
saving(s),n.,節約,3
scale(s),n.,規模,3
scarce,adj.,難得的,3
scarf,n.,圍巾,3
scary,adj.,容易受驚的,3
scatter,v./n.,消散,3
scholar,n.,學者,3
scholarship,n.,學問,3
scientific,adj.,科學的,3
scientist,n.,科學家,3
scissors,n.,剪刀,3
scout,n./v.,守候,3
scream,v./n.,尖叫聲,3
screw,v./n.,螺旋,3
scrub,n./v.,用力擦洗,3
seal,n./v.,印章,3
security,n.,安全,3
semester,n.,學期,3
senior,adj./n.,年長者,3
sensible,adj.,有感覺的,3
separation,n.,分離,3
sexual,adj.,性的,3
sexy,adj.,有性感的,3
shadow,n./v.,陰影,3
shallow,adj.,水淺的地方,3
shampoo,n./v.,洗頭,3
shepherd,n.,牧羊人,3
shiny,adj.,有光澤的,3
shorten,v.,弄短,3
shortly,adv.,不久,3
shovel,n./v.,鏟,3
shrimp,n.,蝦,3
shrink,v.,收縮,3
sigh,n./v.,嘆息,3
signal,n./v.,信號,3
significant,adj.,重要的,3
silk,n.,絲,3
similarity,n.,類似,3
sin,n./v.,罪,3
sincere,adj.,誠實的,3
sink,n./v.,藏垢的場所,3
sip,v./n.,啜飲,3
situation,n.,情形,3
skate,v./n.,溜冰,3
ski,n./v.,滑雪橇,3
skillful,adj.,熟練的,3
skinny,adj.,似皮的,3
skip,v./n.,跳躍,3
slave,n./v.,奴隸,3
sleeve,n.,袖子,3
slender,adj.,苗條的,3
slice,n./v.,薄的切片,3
slippery,adj.,滑的,3
slope,n.,傾斜,3
snap,v./n.,使突然中斷,3
solid,adj.,固體,3
someday,adv.,有一天,3
somehow,adv.,不知何故,3
sometime,adv.,以前的,3
sorrow,n.,悲傷,3
spaghetti,n.,意大利面條,3
specific,adj.,特效藥,3
spice,n./v.,香料,3
spill,v./n.,溢出,3
spin,n./v.,旋轉,3
spinach,n.,菠菜,3
spit,v./n.,唾液,3
spite,n.,惡意,3
splash,n./v.,飛濺,3
spoil,v.,戰利品,3
spray,n./v.,水沫,3
spy,n./v.,間諜,3
squeeze,v./n.,緊握,3
squirrel,n.,松鼠,3
stable,adj.,馬房,3
stadium,n.,露天大型運動場,3
staff,n./v.,全體人員,3
stale,adj.,尿,3
stare,v./n.,注視,3
starve,v.,(使)餓死,3
statue,n.,以雕像裝飾,3
steady,adj./v./adv./n.,穩定的,3
steal,v.,剽竊,3
steam,n./v.,蒸汽,3
steep,adj.,浸漬,3
sticky,adj.,粘的,3
stiff,adj.,堅硬的,3
sting,n./v.,叮,3
stir,v./n.,騷動,3
stitch,n./v.,一針,3
stomach,n.,胃,3
stool,n.,凳子,3
stormy,adj.,暴風雨的,3
stove,n.,火爐,3
strategy,n.,戰略,3
straw,n.,稻草,3
strength,n.,力量,3
strip,n./v.,長條,3
structure,n.,結構,3
stubborn,adj.,頑固的,3
studio,n.,工作室,3
stuff,n./v.,原料,3
substance,n.,物質,3
subtract,v.,減去,3
suburb,n.,市郊住宅區,3
suck,v./n.,吸,3
suffer,v.,遭受,3
sufficient,adj.,充分的,3
suicide,n.,自殺,3
sum,n./v.,總數,3
summary,n.,摘要,3
summit,n.,頂點,3
superior,adj./n.,長者,3
surround,v.,包圍,3
survey,n./v.,縱覽,3
survivor,n.,生還者,3
suspect,v./n./adj.,被懷疑者,3
suspicion,n.,懷疑,3
swan,n.,天鵝,3
swear,v.,發誓,3
sweat,n./v.,汗,3
swell,v./n.,增大,3
swift,adj.,褐雨燕,3
sword,n.,刀,3
tablet,n.,平板,3
tag,n./v.,標籤,3
tailor,n.,裁縫,3
talent,n.,天才,3
talkative,adj.,喜歡說話的,3
tame,adj./v.,馴服的,3
tangerine,n.,柑橘,3
tank,n.,槽,3
tap,v./n.,輕打,3
tasty,adj.,好吃的,3
tease,v.,揶揄,3
technical,adj.,技術上的,3
technique,n.,技巧,3
teenage,adj.,十三歲到十九歲的,3
temper,n.,(鋼等的)硬度,3
temporary,adj.,暫時的,3
tend,v.,走向,3
tender,adj.,嫩的,3
tent,n.,帳篷,3
terrific,adj.,非常好的,3
territory,n.,領土,3
thankful,adj.,感謝的,3
theory,n.,理論,3
thirst,n.,口渴,3
thread,n./v.,線,3
threat,n.,恐嚇,3
threaten,v.,恐嚇,3
thumb,n./v.,拇指,3
tide,n.,潮,3
tight,adj./adv.,緊的,3
tighten,v.,勒緊,3
timber,n.,木材,3
tobacco,n.,煙草,3
ton,n.,噸,3
toss,v./n.,投擲,3
tough,adj.,惡棍,3
tourism,n.,觀光業,3
tourist,n.,觀光客,3
tow,n./v.,拖,3
tower,n.,塔,3
trace,n./v.,痕跡,3
trader,n.,商人,3
trail,n./v.,蹤跡,3
transport,n./v.,運輸,3
traveler,n.,旅行者,3
tray,n.,托盤,3
trend,n.,趨勢,3
tribe,n.,宗族,3
tricky,adj.,狡猾的,3
troop,n.,軍隊,3
tropical,adj.,熱帶的,3
trumpet,n.,喇叭,3
trunk,n.,樹幹,3
truthful,adj.,說真話的,3
tub,n.,桶,3
tug,n./v.,用力拉,3
tune,n./v.,歌曲,3
tunnel,n./v.,隧道,3
tutor,n./v.,家庭教師,3
twin,n.,雙胞胎中一人,3
twist,n./v.,一扭,3
underlying,v.,在下面的,3
underwear,n.,內衣,3
union,n.,聯盟,3
unique,adj./n.,獨一無二的,3
unite,v.,聯合,3
unity,n.,一致,3
urban,adj.,都市的,3
vacant,adj.,空的,3
van,n.,貨車,3
vanish,v.,消失,3
variety,n.,多樣,3
various,adj.,不同的,3
vary,v.,改變,3
vase,n.,花瓶,3
vehicle,n.,交通工具,3
verse,n.,詩,3
vest,n.,背心,3
victim,n.,受害人,3
violence,n.,猛烈,3
violent,adj.,暴力的,3
violet,adj./n.,堇菜,3
visible,adj.,看得見的,3
vision,n.,視覺,3
vitamin,n.,維生素,3
vivid,adj.,生動的,3
vocabulary,n.,詞匯(量),3
volleyball,n.,排球,3
volume,n.,冊,3
voter,n.,選民,3
wage(s),n.,工資,3
wagon,n.,四輪馬車,3
wander,v./n.,遊蕩,3
warmth,n.,溫暖,3
warn,v.,警告,3
waterfall,n.,瀑布,3
wax,n./v.,蠟,3
weaken,v.,削弱,3
wealthy,adj.,富有的,3
weapon,n.,武器,3
weave,v./n.,編法,3
web,n.,網,3
wed,v.,與...結婚,3
weed,n./v.,雜草,3
weekly,adj./adv./n.,周刊,3
weep,v.,哭,3
wheat,n.,小麥,3
whip,n./v.,鞭子,3
whistle,n./v.,口哨,3
wicked,adj.,壞的,3
widen,v.,弄寬,3
wipe,v./n.,擦拭,3
wisdom,n.,智慧,3
wrap,v./n.,外套,3
wrist,n.,手腕,3
yearly,adj./adv.,每年的,3
yell,v./n.,叫喊,3
yolk,n.,蛋黃,3
youngster,n.,小孩,3
zipper,n./v.,拉鏈,3
zone,n./v,地帶,3
abandon,v.,放棄,4
absolute,adj.,絕對的,4
absorb,v.,吸收,4
abstract,adj.,抽象的,4
academic,adj.,學院的,4
accent,n.,重音,4
acceptance,n.,接受,4
access,n./v.,通路,4
accidental,adj.,意外的,4
accompany,v.,陪伴,4
accomplish(ment),v./(n.),完成；成就,4
accountant,n.,會計人員,4
accuracy,n.,精確,4
accuse,v.,指責,4
acid,n./adj.,酸,4
acquaintance,n.,認識,4
acquire,v.,獲得,4
adapt,v.,使適應,4
addict,n./v.,使沉溺,4
adequate,adj.,適當的,4
adjust(ment),v./(n.),調節,4
admirable,adj.,可欽佩的,4
admiration,n.,贊賞,4
admission,n.,準許進入,4
adopt,v.,採用,4
agency,n.,代理機構,4
agent,n.,代理商,4
aggressive,adj.,侵略的,4
agreeable,adj.,令人愉快的,4
alcohol,n.,酒精,4
alert,adj./v./n.,警覺的,4
allowance,n.,津貼,4
alternative,adj./n.,兩者擇一,4
amateur,adj./n.,業餘愛好者,4
ambiguous,adj.,不明確的,4
ambitious,adj.,有野心的,4
amuse(ment),v./(n.),使快樂,4
analysis,n.,分析,4
analyze,v.,分析,4
ancestor,n.,祖先,4
anniversary,n.,周年紀念,4
annoy,v.,使惱怒,4
annual,adj.,年刊,4
anxiety,n.,焦慮,4
apology,n.,道歉,4
apparent,adj.,清晰可見的,4
applicant,n.,申請者,4
application,n.,應用,4
appoint(ment),v./(n.),任命,4
appreciation,n.,感激,4
appropriate,adj.,適當的,4
approval,n.,贊成,4
aquarium,n.,水族館,4
arch,n./v.,拱門,4
arise,v.,站立,4
arms,n.,武器,4
artificial,adj.,人造的,4
